,index,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster_x,PC1,PC2,PCA_EuclidianDist(Xsign),1th_Boundary
980,980,38,301986,False,0.549,0.478,0,-13.805,1,0.0406,0.771,0.00233,0.695,0.591,93.855,31,0.5762002324322663,0.4685838460895767,0.9498303242617763,1
981,981,39,227325,False,0.68,0.641,11,-9.212,0,0.0281,0.758,1.3e-05,0.104,0.398,122.047,59,-0.5738941663973339,0.7070330863270742,-0.7776909515915764,-1
982,982,39,178098,False,0.725,0.613,0,-9.739,1,0.0961,0.671,3.04e-05,0.0506,0.499,103.039,55,0.5137127382535884,0.33136300573090277,0.83250140428579,1
983,983,39,201360,False,0.632,0.593,4,-6.473,0,0.032,0.302,0.51,0.175,0.799,100.545,74,-0.5892776788251778,0.36824672020057114,-0.500714479806085,-1
984,984,37,183693,False,0.333,0.259,0,-11.26,1,0.0409,0.963,2.13e-05,0.0736,0.183,77.396,54,0.5723566690456937,0.44454571048345104,0.9348215764696304,1
985,985,38,250800,False,0.527,0.543,10,-8.417,0,0.0341,0.0206,0.00174,0.0727,0.112,142.533,71,-0.7182573909735034,0.19993714845315613,-0.5091560149236104,-1
986,986,39,289160,False,0.401,0.33,0,-9.681,1,0.0304,0.86,3.31e-06,0.743,0.332,138.711,32,0.569987823837311,0.38709410906038105,0.906764512158862,1
987,987,39,243764,False,0.292,0.45,9,-10.93,1,0.044,0.747,0.00378,0.0939,0.467,201.54,44,0.41079097405363885,0.37966139359234596,0.7620941445617064,1
988,988,38,252013,False,0.572,0.745,7,-8.642,1,0.0444,0.0895,8.64e-06,0.147,0.855,138.329,21,0.32494904115452716,0.11255760341649118,0.58586313590409,1
989,989,39,232066,False,0.547,0.563,2,-7.763,1,0.0349,0.719,0.00355,0.116,0.605,117.526,55,0.5017108107079139,0.3658239050870462,0.836000162959485,1
990,990,40,212840,False,0.437,0.607,7,-3.562,1,0.0308,0.323,0.0,0.389,0.36,95.836,25,0.31865551449605234,0.04966031114239916,0.5708197970196285,1
991,991,39,299746,False,0.547,0.674,7,-9.584,1,0.0394,0.407,0.00115,0.715,0.503,160.123,36,0.36949095611524174,0.17611623745977512,0.6440387983697599,1
992,992,39,237106,False,0.571,0.572,9,-10.482,1,0.0297,0.655,0.0,0.194,0.879,75.105,50,0.4298384093221729,0.5515405369693631,0.8754297383057966,1
993,993,38,270186,False,0.447,0.257,10,-10.679,1,0.0316,0.911,0.0,0.706,0.102,119.405,33,0.43435349295439596,0.5059315337274314,0.8510619367229822,1
